"name_exercise";"muscle_group";"rating_exercise"
"Broad jump";"Quadriceps";8.8
"Machine Squat";"Quadriceps";8.8
"V-bar pull-up";"Lats";8.8
"Ring dip";"Triceps";8.8
"Standing One-Arm Cable Curl";"Biceps";8.8
"Burpee";"Quadriceps";8.8
"Double-arm triceps kick-back";"Triceps";8.8
"Dumbbell reverse lunge";"Quadriceps";8.7
"Seated Calf Raise";"Calves";8.7
"Standing dumbbell shrug";"Traps";8.7
"Calf Press On The Leg Press Machine";"Calves";8.7
"Barbell step-up";"Quadriceps";8.7
"Feet-elevated bench dip";"Triceps";8.7
"Bent Over Barbell Row";"Middle Back";8.7
"Crunches";"Abdominals";8.7
"Dumbbell Alternate Bicep Curl";"Biceps";8.7
"Bent-over dumbbell rear delt row";"Shoulders";8.7
"External Rotation with Cable";"Shoulders";8.7
"Handstand push-up";"Shoulders";8.7
"Single-arm dumbbell preacher curl";"Biceps";8.7
"Step-up with knee raise";"Glutes";8.7
"Smith machine back squat";"Quadriceps";8.7
"Incline dumbbell front raise";"Shoulders";8.7
"Alternate Incline Dumbbell Curl";"Biceps";8.7
"Standing dumbbell upright row";"Traps";8.7
"Single-arm cable front raise";"Shoulders";8.7
"Two-Arm Kettlebell Military Press";"Shoulders";8.7
"Incline cable chest press";"Chest";8.7
"Rope climb";"Lats";8.7
"Single-arm dumbbell preacher curl";"Biceps";8.7
"Step-up with knee raise";"Glutes";8.7
"Incline dumbbell front raise";"Shoulders";8.7
"Rope climb";"Lats";8.7
"Trail Running/Walking";"Quadriceps";8.7
"Standing Bradford press";"Shoulders";8.7
"Neutral-grip dumbbell bench press";"Chest";8.7
"Cable Chest Press";"Chest";8.7
"Standing concentration curl";"Biceps";8.7
"Wide-Grip Rear Pull-Up";"Lats";8.7
"Kettlebell pass-through lunge";"Hamstrings";8.7
"Hands-elevated push-up";"Chest";8.7
"Deadlift with Bands";"Lower Back";8.7
"Straight-arm rope pull-down";"Lats";8.7
"Barbell Shoulder Press";"Shoulders";8.7
"Power clean";"Hamstrings";8.7
"Hang Snatch";"Hamstrings";8.7
"Kettlebell sumo deadlift high pull";"Traps";8.7
"Calf-Machine Shoulder Shrug";"Traps";8.7
"Bench Press - Powerlifting";"Triceps";8.7
"Rocking Standing Calf Raise";"Calves";8.7
"Goblet Squat";"Quadriceps";8.7
"Behind-the-head skullcrusher";"Triceps";8.7
"Seated palms-up wrist curl";"Forearms";8.7
"Reverse Cable Curl";"Biceps";8.7
"Dumbbell side bend";"Abdominals";8.6
"Lat pull-down";"Lats";8.6
"Side Lateral Raise";"Shoulders";8.6
"Alternating incline dumbbell biceps curl";"Biceps";8.6
"Kettlebell One-Legged Deadlift";"Hamstrings";8.6
"Alternate Hammer Curl";"Biceps";8.6
"Decline Push-Up";"Chest";8.6
"Captain's chair knee raise";"Abdominals";8.6
"Triceps Pushdown";"Triceps";8.6
"Low cable overhead triceps extension";"Triceps";8.6
"Single-arm cable cross-over";"Chest";8.6
"Seated dumbbell biceps curl";"Biceps";8.6
"Battle ropes";"Shoulders";8.6
"Dead bug reach";"Abdominals";8.6
"Deadlift with Chains";"Lower Back";8.6
"Rope Crunch";"Abdominals";8.6
"Palms-Up Dumbbell Wrist Curl Over A Bench";"Forearms";8.6
"Kettlebell thruster";"Glutes";8.6
"Single-Arm Push-Up";"Chest";8.6
"Band Hip Adductions";"Adductors";8.6
"Single-arm kettlebell clean";"Hamstrings";8.6
"Preacher Hammer Dumbbell Curl";"Biceps";8.6
"Alternating Kettlebell Press";"Shoulders";8.6
"Split Squat with Dumbbells";"Quadriceps";8.6
"Standing One-Arm Dumbbell Curl Over Incline Bench";"Biceps";8.6
"Standing Olympic Plate Hand Squeeze";"Forearms";8.6
"Sledgehammer swing";"Abdominals";8.6
"Kneeling Squat";"Glutes";8.6
"Single-arm kettlebell snatch";"Shoulders";8.6
"Close-grip barbell curl";"Biceps";8.6
"Box jump";"Hamstrings";8.6
"Standing cable crunch";"Abdominals";8.6
"Leverage Incline Chest Press";"Chest";8.6
"Standing barbell overhead triceps extension";"Triceps";8.6
"Lying cable triceps extension";"Triceps";8.6
"Kettlebell Turkish Get-Up (Squat style)";"Shoulders";8.6
"Crunch - Hands Overhead";"Abdominals";8.6
"Cable Internal Rotation";"Shoulders";8.6
"Leg Extensions";"Quadriceps";8.5
"Standing One-Arm Dumbbell Curl Over Incline Bench";"Biceps";8.6
"Standing Olympic Plate Hand Squeeze";"Forearms";8.6
"Sledgehammer swing";"Abdominals";8.6
"Single-arm kettlebell snatch";"Shoulders";8.6
"Box jump";"Hamstrings";8.6
"Standing cable crunch";"Abdominals";8.6
"Standing barbell overhead triceps extension";"Triceps";8.6
"Lying cable triceps extension";"Triceps";8.6
"Close push-up to wide push-up";"Chest";8.5
"Single-arm dumbbell triceps extension";"Triceps";8.5
"Butterfly";"Chest";8.5
"Decline dumbbell bench press";"Chest";8.5
"V-up";"Abdominals";8.5
"Seated face pull";"Shoulders";8.5
"Barbell Bulgarian split squat";"Quadriceps";8.5
"Reverse-grip lat pull-down";"Lats";8.5
"Standing Biceps Cable Curl";"Biceps";8.5
"Single-arm cable seated row";"Middle Back";8.5
"Single-arm kettlebell row";"Chest";8.5
"Scissors Jump";"Quadriceps";8.5
"Wide Stance Stiff Legs";"Hamstrings";8.5
"Rack Pull with Bands";"Lower Back";8.5
"Drag curl";"Biceps";8.5
"Close push-up to wide push-up";"Chest";8.5
"Single-arm dumbbell triceps extension";"Triceps";8.5
"Butterfly";"Chest";8.5
"Seated face pull";"Shoulders";8.5
"Rack Pull with Bands";"Lower Back";8.5
"Drag curl";"Biceps";8.5
"Hang Clean - Below the Knees";"Quadriceps";8.5
"Decline oblique crunch";"Abdominals";8.5
"Dumbbell external shoulder rotation";"Shoulders";8.5
"Single-arm bent-over cable rear delt fly";"Shoulders";8.5
"Clean";"Hamstrings";8.5
"Single-arm incline lateral raise";"Shoulders";8.5
"Decline bar press sit-up";"Abdominals";8.5
"Barbell rear delt bent-over row";"Shoulders";8.5
"Calf Press";"Calves";8.5
"Kettlebell alternating renegade row";"Middle Back";8.5
"Bosu Ball Cable Crunch With Side Bends";"Abdominals";8.5
"Stomach Vacuum";"Abdominals";8.5
"Hammer Grip Incline DB Bench Press";"Chest";8.5
"Wide-grip hands-elevated push-up";"Chest";8.5
"Decline Dumbbell Triceps Extension";"Triceps";8.5
"Jumping jack-";"Quadriceps";8.5
"Push-Ups With Feet On An Exercise Ball";"Chest";8.5
"Seated cable shoulder press";"Shoulders";8.5
"Barbell hack squat";"Quadriceps";8.5
"Feet-elevated push-up";"Chest";8.5
"Good Morning";"Hamstrings";8.5
"Leverage Chest Press";"Chest";8.5
"Gironda Sternum Chins";"Lats";8.5
"Exercise ball crunch";"Abdominals";8.4
"Seated rear delt fly";"Shoulders";8.4
"Standing face pull";"Shoulders";8.4
"Glute Ham Raise";"Hamstrings";8.4
"Russian twist";"Abdominals";8.4
"Seated Flat Bench Leg Pull-In";"Abdominals";8.4
"Barbell shrug";"Traps";8.4
"Seated Flat Bench Leg Pull-In";"Abdominals";8.4
"Barbell shrug";"Traps";8.4
"Standing cable rear delt row";"Shoulders";8.4
"Flat Bench Lying Leg Raise";"Abdominals";8.4
"Hack Squat";"Quadriceps";8.4
"Dumbbell skullcrusher";"Triceps";8.4
"Man-maker";"Middle Back";8.4
"Pallof press";"Abdominals";8.4
"Knees tucked crunch";"Abdominals";8.4
"Straight-arm dumbbell pull-over";"Chest";8.4
"Arms-crossed jump squat";"Quadriceps";8.4
"Decline Smith Press";"Chest";8.4
"Band Skull Crusher";"Triceps";8.4
"Side Wrist Pull";"Shoulders";8.4
"Isometric Wipers";"Chest";8.4
"Skating";"Quadriceps";8.4
"Cable cross-over";"Chest";8.4
"Treadmill running";"Quadriceps";8.4
"One Arm Pronated Dumbbell Triceps Extension";"Triceps";8.4
"Single-arm kettlebell clean and jerk";"Shoulders";8.4
"Side To Side Chins";"Lats";8.4
"Incline Dumbbell Bench With Palms Facing In";"Chest";8.4
"Seated palms-down wrist curl";"Forearms";8.4
"Standing leg swing";"Hamstrings";8.4
"Clock push-up";"Chest";8.4
"Machine seated row";"Lats";8.4
"Lying Face Up Plate Neck Resistance";"Neck";8.4
"Weighted sissy squat";"Quadriceps";8.4
"Jog In Place";"Quadriceps";8.4
"Dumbbell Raise";"Shoulders";8.4
"Palms-Down Dumbbell Wrist Curl Over A Bench";"Forearms";8.4
"One Arm Supinated Dumbbell Triceps Extension";"Triceps";8.4
"Jog In Place";"Quadriceps";8.4
"Dumbbell Raise";"Shoulders";8.4
"Palms-Down Dumbbell Wrist Curl Over A Bench";"Forearms";8.4
"One Arm Supinated Dumbbell Triceps Extension";"Triceps";8.4
"Stationary bike";"Quadriceps";8.3
"Dumbbell bent-over row";"Middle Back";8.3
"Barbell thruster";"Quadriceps";8.3
"Flutter Kicks";"Glutes";8.3
"Dumbbell sumo squat";"Quadriceps";8.3
"Barbell upright row";"Shoulders";8.3
"Superman";"Lower Back";8.3
"Straight-Arm Pulldown";"Lats";8.3
"Barbell stiff-legged deadlift";"Hamstrings";8.3
"Standing One-Arm Dumbbell Triceps Extension";"Triceps";8.3
"Smith machine bench press";"Chest";8.3
"Seated Side Lateral Raise";"Shoulders";8.3
"Dumbbell Lying Rear Lateral Raise";"Shoulders";8.3
"Dumbbell preacher curl";"Biceps";8.3
"Front Raise And Pullover";"Chest";8.3
"Dumbbell seated box jump";"Quadriceps";8.3
"Middle Back Shrug";"Middle Back";8.3
"Incline face-down bar front raise";"Shoulders";8.3
"Butt-Ups";"Abdominals";8.3
"Band Good Morning (Pull Through)";"Hamstrings";8.3
"Bodyweight Reverse Lunge";"Quadriceps";8.3
"Seated One-Arm Dumbbell Palms-Down Wrist Curl";"Forearms";8.3
"Glute Kickback";"Glutes";8.3
"Treadmill jogging";"Quadriceps";8.3
"Plate Pinch";"Forearms";8.3
"Yates Row Reverse Grip";"Middle Back";8.3
"Linear Acceleration Wall Drill";"Hamstrings";8.3
"Reverse-grip bench press";"Triceps";8.3
"Leverage Decline Chest Press";"Chest";8.3
"Chain Handle Extension";"Triceps";8.3
